eventId,seatNumber,row,level,section,status,eventDate,sellRank,hasUpsells
121,52,13,J,v,SOLD,2025-02-17 00:00:00,52,false
18,96,27,G,q,HOLD,2025-01-11 00:00:00,96,true
6,7,35,G,l,SOLD,2025-01-07 00:00:00,7,false
32,15,6,u,I,SOLD,2025-03-16 00:00:00,15,false
1,70,26,t,z,SOLD,2025-04-02 00:00:00,70,false
39,61,35,j,G,HOLD,2025-01-08 00:00:00,61,true
5,8,26,q,s,HOLD,2025-02-27 00:00:00,8,false
105,51,20,A,X,HOLD,2025-04-04 00:00:00,51,true
1,89,32,q,R,SOLD,2025-02-22 00:00:00,89,false
90,46,7,k,G,OPEN,2025-03-02 00:00:00,46,true
101,69,13,k,u,HOLD,2025-01-09 00:00:00,69,false
115,58,21,j,D,HOLD,2025-02-04 00:00:00,58,true
19,34,28,O,y,HOLD,2025-04-10 00:00:00,34,true
24,98,13,I,i,HOLD,2025-02-10 00:00:00,98,false
44,18,22,n,V,HOLD,2025-03-03 00:00:00,18,true
7,20,34,b,f,OPEN,2025-03-05 00:00:00,20,true
44,5,13,C,a,SOLD,2025-02-18 00:00:00,5,false
105,53,3,P,W,OPEN,2025-04-04 00:00:00,53,false
69,68,37,V,B,OPEN,2025-02-28 00:00:00,68,true
113,79,20,L,t,OPEN,2025-03-29 00:00:00,79,false
67,59,28,P,m,SOLD,2025-01-24 00:00:00,59,true
25,33,2,l,v,HOLD,2025-03-14 00:00:00,33,true
107,13,15,M,C,OPEN,2025-01-15 00:00:00,13,false
129,38,29,R,x,SOLD,2025-01-06 00:00:00,38,true
135,61,12,M,H,SOLD,2025-03-19 00:00:00,61,false
1,36,39,V,U,HOLD,2025-02-25 00:00:00,36,true
2,1,34,q,P,HOLD,2025-02-02 00:00:00,1,false
138,11,29,p,U,SOLD,2025-02-16 00:00:00,11,false
44,43,31,r,R,OPEN,2025-04-08 00:00:00,43,false
108,11,19,V,j,OPEN,2025-03-25 00:00:00,11,false
55,98,7,u,d,OPEN,2025-03-11 00:00:00,98,true
103,7,16,F,j,HOLD,2025-01-18 00:00:00,7,true
0,23,7,I,n,SOLD,2025-01-13 00:00:00,23,true
149,47,19,y,l,SOLD,2025-04-01 00:00:00,47,false
32,56,5,D,c,HOLD,2025-03-16 00:00:00,56,false
110,80,6,U,A,HOLD,2025-03-18 00:00:00,80,true
107,30,14,k,x,HOLD,2025-01-05 00:00:00,30,false
77,46,24,W,G,SOLD,2025-02-26 00:00:00,46,true
32,62,13,p,q,SOLD,2025-03-16 00:00:00,62,false
42,40,20,U,z,SOLD,2025-02-19 00:00:00,40,false
95,20,22,G,Z,OPEN,2025-01-03 00:00:00,20,true
105,68,27,x,h,SOLD,2025-03-07 00:00:00,68,false
26,46,23,C,g,SOLD,2025-01-31 00:00:00,46,true
1,69,16,g,R,OPEN,2025-02-25 00:00:00,69,true
6,14,8,H,J,OPEN,2025-01-16 00:00:00,14,false
84,68,39,r,z,SOLD,2025-01-22 00:00:00,68,true
12,50,23,q,U,OPEN,2025-03-17 00:00:00,50,false
0,45,27,V,j,HOLD,2025-01-13 00:00:00,45,true
115,47,9,t,M,SOLD,2025-03-13 00:00:00,47,false
45,32,35,c,W,HOLD,2025-01-14 00:00:00,32,true
12,98,25,u,I,SOLD,2025-03-17 00:00:00,98,false
92,57,30,p,N,HOLD,2025-03-08 00:00:00,57,false
1,50,19,s,r,SOLD,2025-02-25 00:00:00,50,true
1,71,4,k,R,OPEN,2025-02-22 00:00:00,71,true
149,7,37,A,L,HOLD,2025-04-01 00:00:00,7,true
6,59,20,U,J,HOLD,2025-01-16 00:00:00,59,false
18,29,3,J,I,HOLD,2025-01-11 00:00:00,29,true
115,18,36,X,O,SOLD,2025-02-04 00:00:00,18,true
5,45,15,s,l,OPEN,2025-02-27 00:00:00,45,true
25,77,19,d,z,SOLD,2025-03-14 00:00:00,77,true
5,73,2,A,o,OPEN,2025-02-27 00:00:00,73,true
12,66,33,e,g,OPEN,2025-03-17 00:00:00,66,false
44,26,35,g,l,SOLD,2025-02-18 00:00:00,26,false
95,2,17,e,K,OPEN,2025-01-01 00:00:00,2,false
136,87,12,b,b,HOLD,2025-02-06 00:00:00,87,true
77,92,29,O,k,HOLD,2025-03-22 00:00:00,92,true
69,15,5,z,U,SOLD,2025-02-28 00:00:00,15,true
84,2,33,i,O,HOLD,2025-02-01 00:00:00,2,true
30,62,19,B,s,SOLD,2025-02-13 00:00:00,62,true
67,91,17,G,R,SOLD,2025-01-24 00:00:00,91,false
105,78,14,B,h,OPEN,2025-04-04 00:00:00,78,false
101,19,16,j,S,SOLD,2025-01-09 00:00:00,19,true
115,59,36,p,y,HOLD,2025-03-13 00:00:00,59,false
106,76,5,j,n,OPEN,2025-01-23 00:00:00,76,false
143,66,39,A,F,SOLD,2025-01-02 00:00:00,66,false
14,27,19,V,F,OPEN,2025-03-06 00:00:00,27,false
44,34,36,A,W,SOLD,2025-02-18 00:00:00,34,false
5,53,37,t,d,HOLD,2025-02-27 00:00:00,53,true
69,87,30,H,z,OPEN,2025-02-28 00:00:00,87,true
25,34,16,S,N,SOLD,2025-01-17 00:00:00,34,false
107,43,22,n,a,SOLD,2025-01-05 00:00:00,43,true
103,86,9,D,Y,HOLD,2025-01-18 00:00:00,86,true
26,84,25,P,y,HOLD,2025-01-30 00:00:00,84,false
55,63,9,n,h,OPEN,2025-03-11 00:00:00,63,false
107,99,39,b,b,SOLD,2025-01-15 00:00:00,99,false
77,70,32,t,H,HOLD,2025-02-26 00:00:00,70,false
42,38,23,b,c,OPEN,2025-02-19 00:00:00,38,true
69,78,38,c,w,OPEN,2025-02-28 00:00:00,78,false
25,69,14,z,g,HOLD,2025-01-17 00:00:00,69,true
121,28,22,t,R,HOLD,2025-02-17 00:00:00,28,false
148,21,16,U,l,SOLD,2025-01-28 00:00:00,21,true
149,89,3,A,Q,SOLD,2025-01-04 00:00:00,89,false
36,82,18,B,w,HOLD,2025-02-09 00:00:00,82,false
144,96,21,x,C,OPEN,2025-03-28 00:00:00,96,false
77,20,34,t,b,HOLD,2025-03-20 00:00:00,20,false
26,79,14,Y,M,HOLD,2025-01-31 00:00:00,79,true
84,44,16,G,c,HOLD,2025-03-31 00:00:00,44,false
47,0,31,y,z,OPEN,2025-04-03 00:00:00,0,true
44,45,32,J,S,SOLD,2025-02-18 00:00:00,45,false
67,16,11,y,c,HOLD,2025-01-24 00:00:00,16,true
1,67,36,r,w,SOLD,2025-02-25 00:00:00,67,false
84,68,6,O,h,SOLD,2025-02-01 00:00:00,68,true
25,40,31,q,R,SOLD,2025-02-07 00:00:00,40,true
25,38,4,C,m,SOLD,2025-01-17 00:00:00,38,false
84,21,14,X,H,SOLD,2025-01-22 00:00:00,21,true
36,37,33,D,G,OPEN,2025-02-09 00:00:00,37,false
115,68,20,A,V,OPEN,2025-03-13 00:00:00,68,true
108,89,14,q,C,OPEN,2025-03-25 00:00:00,89,false
3,14,33,v,T,SOLD,2025-02-11 00:00:00,14,true
42,8,28,K,k,SOLD,2025-02-19 00:00:00,8,true
107,2,4,c,g,OPEN,2025-01-15 00:00:00,2,false
107,83,1,S,E,SOLD,2025-01-05 00:00:00,83,false
55,19,30,n,p,SOLD,2025-03-11 00:00:00,19,false
3,95,32,C,R,SOLD,2025-02-11 00:00:00,95,true
115,8,18,P,J,HOLD,2025-02-04 00:00:00,8,true
84,57,21,s,V,SOLD,2025-02-01 00:00:00,57,true
77,54,38,S,e,HOLD,2025-03-22 00:00:00,54,true
2,22,24,a,J,HOLD,2025-02-02 00:00:00,22,true
90,15,33,j,r,SOLD,2025-03-02 00:00:00,15,false
144,25,33,E,k,HOLD,2025-03-28 00:00:00,25,false
25,80,2,n,d,SOLD,2025-01-17 00:00:00,80,true
74,31,7,d,M,HOLD,2025-02-12 00:00:00,31,true
129,39,25,F,Y,OPEN,2025-01-06 00:00:00,39,true
136,42,35,a,v,HOLD,2025-02-06 00:00:00,42,true
14,18,8,q,W,SOLD,2025-03-06 00:00:00,18,false
95,65,23,S,W,SOLD,2025-01-01 00:00:00,65,false
101,65,7,t,P,OPEN,2025-01-09 00:00:00,65,true
121,61,4,b,d,OPEN,2025-02-17 00:00:00,61,true
129,78,33,T,r,SOLD,2025-01-06 00:00:00,78,false
136,0,34,h,K,OPEN,2025-02-06 00:00:00,0,false
128,11,26,Z,B,OPEN,2025-03-12 00:00:00,11,true
105,6,18,o,k,SOLD,2025-03-07 00:00:00,6,false
25,70,26,H,U,OPEN,2025-01-17 00:00:00,70,true
135,14,29,X,b,OPEN,2025-03-19 00:00:00,14,true
129,42,6,M,S,OPEN,2025-03-01 00:00:00,42,false
128,80,19,I,d,OPEN,2025-03-12 00:00:00,80,true
31,72,37,V,g,OPEN,2025-03-23 00:00:00,72,false
30,12,28,N,X,HOLD,2025-02-13 00:00:00,12,true
25,90,20,U,t,HOLD,2025-03-14 00:00:00,90,false
138,92,22,L,q,HOLD,2025-02-16 00:00:00,92,true
95,39,27,A,Q,HOLD,2025-01-01 00:00:00,39,false
143,77,36,n,v,SOLD,2025-01-02 00:00:00,77,true
115,41,28,z,y,OPEN,2025-02-04 00:00:00,41,true
115,55,19,G,D,OPEN,2025-03-13 00:00:00,55,false
21,90,37,z,z,SOLD,2025-04-05 00:00:00,90,true
121,69,36,F,o,SOLD,2025-02-17 00:00:00,69,false
44,3,15,S,g,SOLD,2025-04-08 00:00:00,3,true
92,94,37,u,O,HOLD,2025-03-08 00:00:00,94,false
18,54,39,C,V,HOLD,2025-01-11 00:00:00,54,true
26,73,15,i,m,SOLD,2025-01-30 00:00:00,73,false
21,16,32,O,q,SOLD,2025-02-08 00:00:00,16,false
33,16,38,D,C,SOLD,2025-02-20 00:00:00,16,true
46,59,36,B,C,OPEN,2025-01-25 00:00:00,59,true
36,42,22,q,K,HOLD,2025-02-09 00:00:00,42,true
106,97,20,N,c,SOLD,2025-01-23 00:00:00,97,true
36,45,24,P,W,HOLD,2025-02-09 00:00:00,45,true
144,28,39,w,H,OPEN,2025-03-28 00:00:00,28,true
99,81,29,W,m,SOLD,2025-03-27 00:00:00,81,true
67,36,23,g,D,OPEN,2025-01-24 00:00:00,36,true
50,81,24,a,f,OPEN,2025-01-29 00:00:00,81,true
108,99,24,O,P,SOLD,2025-03-25 00:00:00,99,true
44,31,26,E,f,HOLD,2025-02-18 00:00:00,31,false
1,64,2,A,D,OPEN,2025-02-25 00:00:00,64,true
30,8,8,d,E,HOLD,2025-02-13 00:00:00,8,false
77,24,3,M,G,SOLD,2025-02-26 00:00:00,24,false
25,52,38,x,n,OPEN,2025-03-14 00:00:00,52,false
121,91,22,S,A,SOLD,2025-02-17 00:00:00,91,false
21,63,22,e,B,OPEN,2025-02-08 00:00:00,63,true
31,48,19,T,q,HOLD,2025-03-23 00:00:00,48,false
25,50,17,H,h,OPEN,2025-01-17 00:00:00,50,false
77,54,17,L,q,HOLD,2025-02-26 00:00:00,54,true
67,90,38,j,M,HOLD,2025-01-12 00:00:00,90,false
84,5,6,s,A,HOLD,2025-01-22 00:00:00,5,true
74,98,19,I,V,SOLD,2025-02-12 00:00:00,98,false
14,20,19,g,G,SOLD,2025-03-06 00:00:00,20,false
148,72,13,y,X,SOLD,2025-03-26 00:00:00,72,true
110,51,35,G,o,OPEN,2025-03-18 00:00:00,51,false
1,80,13,B,l,HOLD,2025-04-02 00:00:00,80,false
122,8,30,f,U,SOLD,2025-02-03 00:00:00,8,true
67,85,15,b,w,SOLD,2025-01-24 00:00:00,85,false
90,10,38,j,z,OPEN,2025-03-02 00:00:00,10,false
129,61,12,Q,B,SOLD,2025-03-01 00:00:00,61,true
115,69,24,G,w,OPEN,2025-02-04 00:00:00,69,false
112,28,23,v,F,HOLD,2025-01-20 00:00:00,28,false
115,84,14,L,D,HOLD,2025-02-04 00:00:00,84,true
121,87,27,V,X,SOLD,2025-02-17 00:00:00,87,true
69,27,33,W,i,SOLD,2025-02-28 00:00:00,27,false
33,58,36,D,q,HOLD,2025-02-20 00:00:00,58,true
18,42,21,V,B,OPEN,2025-01-11 00:00:00,42,true
84,58,29,A,w,HOLD,2025-02-01 00:00:00,58,true
19,28,2,r,g,OPEN,2025-04-10 00:00:00,28,false
44,50,34,E,w,SOLD,2025-02-18 00:00:00,50,true
67,51,25,o,c,SOLD,2025-01-12 00:00:00,51,false
136,18,35,S,a,HOLD,2025-02-06 00:00:00,18,true
1,33,19,R,m,OPEN,2025-02-25 00:00:00,33,false
105,36,32,T,H,SOLD,2025-04-04 00:00:00,36,true
1,78,15,c,u,HOLD,2025-04-02 00:00:00,78,false
6,52,34,r,N,SOLD,2025-01-07 00:00:00,52,true
69,85,25,N,U,OPEN,2025-02-28 00:00:00,85,false
1,63,0,D,z,HOLD,2025-04-02 00:00:00,63,true
25,4,23,S,V,OPEN,2025-02-07 00:00:00,4,false
21,54,28,m,p,OPEN,2025-02-08 00:00:00,54,false
7,16,19,d,P,HOLD,2025-03-05 00:00:00,16,false
77,17,39,c,V,SOLD,2025-03-22 00:00:00,17,false
45,23,18,l,c,OPEN,2025-01-14 00:00:00,23,false
7,18,21,J,c,HOLD,2025-03-05 00:00:00,18,false
74,82,12,N,J,HOLD,2025-02-12 00:00:00,82,true
29,24,22,P,H,OPEN,2025-03-04 00:00:00,24,false
53,19,35,C,V,HOLD,2025-02-23 00:00:00,19,false
149,77,21,t,c,OPEN,2025-04-01 00:00:00,77,true
47,52,15,o,h,HOLD,2025-04-03 00:00:00,52,false
1,48,13,H,O,OPEN,2025-02-25 00:00:00,48,false
45,46,6,C,u,HOLD,2025-01-14 00:00:00,46,true
45,88,31,I,Y,SOLD,2025-01-14 00:00:00,88,false
106,72,21,n,C,HOLD,2025-01-23 00:00:00,72,true
122,32,14,k,Y,SOLD,2025-02-03 00:00:00,32,false
118,19,14,S,y,HOLD,2025-03-10 00:00:00,19,false
84,18,12,e,V,OPEN,2025-01-22 00:00:00,18,true
122,86,3,B,G,HOLD,2025-02-03 00:00:00,86,true
25,17,10,x,O,OPEN,2025-01-17 00:00:00,17,true
2,90,20,D,x,HOLD,2025-02-02 00:00:00,90,true
25,22,27,R,a,HOLD,2025-02-07 00:00:00,22,false
84,30,18,G,e,OPEN,2025-01-22 00:00:00,30,true
1,27,15,C,T,SOLD,2025-04-02 00:00:00,27,true
13,71,20,b,O,OPEN,2025-02-05 00:00:00,71,true
1,4,37,s,G,HOLD,2025-02-25 00:00:00,4,true
6,30,3,N,z,OPEN,2025-01-16 00:00:00,30,false
36,72,14,O,y,HOLD,2025-02-09 00:00:00,72,true
107,94,9,t,V,HOLD,2025-01-15 00:00:00,94,true
39,61,22,M,v,OPEN,2025-01-10 00:00:00,61,true
25,61,16,J,r,OPEN,2025-01-17 00:00:00,61,false
31,14,36,r,i,HOLD,2025-03-23 00:00:00,14,false
31,76,4,u,L,OPEN,2025-03-23 00:00:00,76,false
148,97,15,l,P,SOLD,2025-03-26 00:00:00,97,true
135,92,19,D,q,HOLD,2025-03-19 00:00:00,92,true
18,80,11,z,u,OPEN,2025-01-11 00:00:00,80,true
1,26,4,w,j,HOLD,2025-04-02 00:00:00,26,false
24,54,3,g,r,HOLD,2025-01-27 00:00:00,54,false
107,40,8,U,k,HOLD,2025-01-05 00:00:00,40,false
67,7,5,F,g,OPEN,2025-01-24 00:00:00,7,true
6,40,22,x,h,SOLD,2025-01-07 00:00:00,40,true
148,83,15,j,A,SOLD,2025-03-21 00:00:00,83,true
26,13,4,p,q,SOLD,2025-01-31 00:00:00,13,false
44,14,29,I,i,OPEN,2025-04-08 00:00:00,14,false
108,78,12,S,C,SOLD,2025-03-25 00:00:00,78,true
115,49,10,W,Y,HOLD,2025-03-13 00:00:00,49,false
2,0,19,f,w,OPEN,2025-01-19 00:00:00,0,true
103,39,2,S,h,HOLD,2025-02-24 00:00:00,39,true
42,4,33,z,P,HOLD,2025-04-07 00:00:00,4,true
42,33,21,K,k,HOLD,2025-02-19 00:00:00,33,true
138,49,30,N,o,SOLD,2025-02-16 00:00:00,49,false
105,16,21,R,I,SOLD,2025-04-04 00:00:00,16,false
36,59,26,U,G,SOLD,2025-02-09 00:00:00,59,false
101,3,20,q,t,HOLD,2025-01-09 00:00:00,3,false
24,62,7,F,V,OPEN,2025-01-27 00:00:00,62,false
103,87,1,c,J,OPEN,2025-02-24 00:00:00,87,true
92,69,14,p,g,HOLD,2025-03-08 00:00:00,69,true
95,48,31,G,t,OPEN,2025-01-01 00:00:00,48,true
6,44,14,q,H,SOLD,2025-01-16 00:00:00,44,false
138,22,27,N,J,SOLD,2025-02-16 00:00:00,22,true
62,35,37,v,g,HOLD,2025-02-21 00:00:00,35,false
55,84,15,t,L,HOLD,2025-03-11 00:00:00,84,false
67,6,26,M,Q,OPEN,2025-01-12 00:00:00,6,false
24,23,13,F,l,SOLD,2025-02-10 00:00:00,23,false
46,75,10,g,Q,SOLD,2025-01-25 00:00:00,75,false
53,88,21,v,r,OPEN,2025-02-23 00:00:00,88,false
53,48,38,l,v,SOLD,2025-02-23 00:00:00,48,false
25,52,25,y,L,HOLD,2025-03-30 00:00:00,52,true
95,89,25,g,U,HOLD,2025-01-03 00:00:00,89,false
71,75,34,q,R,SOLD,2025-01-26 00:00:00,75,true
36,32,1,P,f,HOLD,2025-02-09 00:00:00,32,false
105,94,29,d,i,SOLD,2025-04-04 00:00:00,94,true
26,22,24,r,K,HOLD,2025-01-31 00:00:00,22,false
50,38,2,Y,v,HOLD,2025-01-29 00:00:00,38,true
36,92,28,i,n,SOLD,2025-02-09 00:00:00,92,false
115,3,14,g,Z,HOLD,2025-02-04 00:00:00,3,true
36,39,18,e,T,SOLD,2025-02-09 00:00:00,39,false
14,40,29,B,X,OPEN,2025-03-06 00:00:00,40,true
129,25,4,l,D,OPEN,2025-03-01 00:00:00,25,true
25,64,18,i,l,HOLD,2025-03-14 00:00:00,64,true
137,28,35,l,E,SOLD,2025-03-09 00:00:00,28,false
25,66,3,c,G,HOLD,2025-03-14 00:00:00,66,true
44,9,39,o,l,HOLD,2025-03-03 00:00:00,9,true
12,38,2,G,o,OPEN,2025-03-17 00:00:00,38,false
103,15,37,N,t,OPEN,2025-01-18 00:00:00,15,false
108,38,7,n,M,OPEN,2025-03-25 00:00:00,38,true
6,95,0,e,r,OPEN,2025-01-16 00:00:00,95,true
136,33,12,H,K,HOLD,2025-02-06 00:00:00,33,false
19,76,3,C,o,HOLD,2025-04-10 00:00:00,76,true
115,65,39,A,M,HOLD,2025-01-21 00:00:00,65,true
67,94,34,r,n,HOLD,2025-01-12 00:00:00,94,true
2,15,15,E,g,OPEN,2025-02-02 00:00:00,15,false
129,93,30,L,e,SOLD,2025-03-01 00:00:00,93,false
71,6,0,f,f,HOLD,2025-01-26 00:00:00,6,false
19,82,35,r,I,HOLD,2025-04-10 00:00:00,82,true
5,14,34,X,L,OPEN,2025-02-27 00:00:00,14,true
115,29,18,k,b,SOLD,2025-02-04 00:00:00,29,false
113,90,32,i,K,OPEN,2025-03-29 00:00:00,90,false
95,42,25,I,s,SOLD,2025-01-01 00:00:00,42,true
39,68,27,S,D,SOLD,2025-01-08 00:00:00,68,true
128,10,37,H,n,SOLD,2025-04-06 00:00:00,10,true
84,21,6,E,H,SOLD,2025-03-31 00:00:00,21,false
90,80,35,U,y,OPEN,2025-03-02 00:00:00,80,false
103,71,27,O,m,SOLD,2025-02-24 00:00:00,71,false
115,90,26,w,B,OPEN,2025-01-21 00:00:00,90,false
2,99,14,t,C,SOLD,2025-02-02 00:00:00,99,false
115,43,5,q,u,SOLD,2025-01-21 00:00:00,43,false
2,95,39,w,f,OPEN,2025-01-19 00:00:00,95,false
39,96,15,o,r,SOLD,2025-01-10 00:00:00,96,true
53,78,7,n,B,SOLD,2025-02-23 00:00:00,78,true
18,53,34,p,b,SOLD,2025-01-11 00:00:00,53,true
74,16,28,G,m,OPEN,2025-02-12 00:00:00,16,false
143,48,10,s,C,HOLD,2025-01-02 00:00:00,48,true
149,45,18,a,I,SOLD,2025-01-04 00:00:00,45,true
103,97,11,u,p,SOLD,2025-02-24 00:00:00,97,true
138,90,4,S,G,OPEN,2025-02-16 00:00:00,90,true
30,77,15,w,I,SOLD,2025-02-13 00:00:00,77,false
14,56,28,U,J,SOLD,2025-03-06 00:00:00,56,false
77,90,34,G,w,SOLD,2025-02-26 00:00:00,90,false
71,38,6,a,R,OPEN,2025-04-09 00:00:00,38,false
31,1,33,R,M,OPEN,2025-03-23 00:00:00,1,true
77,56,16,v,r,OPEN,2025-03-22 00:00:00,56,false
136,40,25,H,r,SOLD,2025-02-06 00:00:00,40,false
19,33,2,r,A,HOLD,2025-04-10 00:00:00,33,true
47,97,34,Y,n,HOLD,2025-04-03 00:00:00,97,true
45,99,33,H,o,OPEN,2025-01-14 00:00:00,99,false
44,98,22,w,D,HOLD,2025-02-18 00:00:00,98,true
113,14,13,K,I,HOLD,2025-03-29 00:00:00,14,true
14,34,24,d,H,SOLD,2025-03-06 00:00:00,34,false
31,85,36,Z,t,OPEN,2025-03-23 00:00:00,85,false
89,7,9,G,q,OPEN,2025-02-15 00:00:00,7,true
77,57,32,e,h,HOLD,2025-03-20 00:00:00,57,true
53,11,5,c,Z,OPEN,2025-02-23 00:00:00,11,true
71,39,1,M,M,OPEN,2025-01-26 00:00:00,39,true
128,63,15,g,D,OPEN,2025-04-06 00:00:00,63,true
6,90,16,Q,R,SOLD,2025-01-16 00:00:00,90,false
44,37,22,s,c,OPEN,2025-02-18 00:00:00,37,false
25,58,6,t,B,OPEN,2025-03-30 00:00:00,58,true
69,30,22,d,V,OPEN,2025-02-28 00:00:00,30,false
1,66,24,L,h,SOLD,2025-04-02 00:00:00,66,false
46,57,4,o,k,HOLD,2025-01-25 00:00:00,57,true
62,76,17,C,u,OPEN,2025-02-21 00:00:00,76,false
53,93,33,z,X,HOLD,2025-02-23 00:00:00,93,true
31,81,30,H,j,HOLD,2025-03-23 00:00:00,81,false
129,80,31,f,R,SOLD,2025-01-06 00:00:00,80,false
32,63,25,e,D,SOLD,2025-03-16 00:00:00,63,false
121,34,35,l,X,SOLD,2025-02-17 00:00:00,34,true
103,49,24,D,K,SOLD,2025-01-18 00:00:00,49,true
62,3,2,k,q,OPEN,2025-02-21 00:00:00,3,false
129,99,31,P,F,HOLD,2025-03-01 00:00:00,99,true
106,36,2,q,U,OPEN,2025-01-23 00:00:00,36,false
77,10,11,M,i,HOLD,2025-03-22 00:00:00,10,false
95,22,8,I,d,HOLD,2025-01-03 00:00:00,22,true
47,47,34,J,T,OPEN,2025-04-03 00:00:00,47,false
47,44,24,y,M,OPEN,2025-04-03 00:00:00,44,false
99,84,13,a,A,HOLD,2025-03-27 00:00:00,84,true
129,4,35,i,D,HOLD,2025-03-01 00:00:00,4,true
24,87,13,c,v,HOLD,2025-02-10 00:00:00,87,true
129,99,4,l,G,SOLD,2025-02-14 00:00:00,99,false
45,49,14,Y,Q,SOLD,2025-01-14 00:00:00,49,false
148,66,39,s,D,HOLD,2025-03-21 00:00:00,66,false
105,70,2,I,z,SOLD,2025-04-04 00:00:00,70,true
42,17,8,i,c,HOLD,2025-02-19 00:00:00,17,false
21,27,37,P,F,SOLD,2025-04-05 00:00:00,27,true
25,15,0,I,Q,HOLD,2025-01-17 00:00:00,15,true
18,71,10,g,Y,HOLD,2025-01-11 00:00:00,71,true
47,87,29,Z,R,OPEN,2025-04-03 00:00:00,87,true
1,95,26,G,E,HOLD,2025-04-02 00:00:00,95,true
115,42,31,r,d,SOLD,2025-02-04 00:00:00,42,false
136,94,21,x,C,OPEN,2025-02-06 00:00:00,94,true
129,53,10,G,t,OPEN,2025-03-01 00:00:00,53,false
115,3,38,g,A,OPEN,2025-01-21 00:00:00,3,false
1,43,1,A,n,HOLD,2025-02-25 00:00:00,43,false
90,0,28,n,U,OPEN,2025-03-02 00:00:00,0,true
26,15,13,j,B,SOLD,2025-01-31 00:00:00,15,false
74,87,26,o,G,SOLD,2025-02-12 00:00:00,87,true
99,36,17,M,K,OPEN,2025-03-27 00:00:00,36,true
118,70,34,W,t,OPEN,2025-03-10 00:00:00,70,false
44,86,12,k,m,OPEN,2025-03-03 00:00:00,86,false
31,46,38,m,Y,SOLD,2025-03-23 00:00:00,46,true
53,84,2,K,c,OPEN,2025-02-23 00:00:00,84,false
44,84,34,m,l,OPEN,2025-04-08 00:00:00,84,true
25,51,33,M,P,SOLD,2025-03-30 00:00:00,51,true
30,87,6,b,w,OPEN,2025-02-13 00:00:00,87,false
77,73,29,U,B,HOLD,2025-03-20 00:00:00,73,false
1,99,32,x,r,HOLD,2025-02-25 00:00:00,99,false
24,26,15,r,c,HOLD,2025-02-10 00:00:00,26,true
47,51,14,a,u,HOLD,2025-04-03 00:00:00,51,true
103,47,5,A,p,OPEN,2025-02-24 00:00:00,47,true
74,5,0,P,W,SOLD,2025-02-12 00:00:00,5,false
113,0,1,m,w,OPEN,2025-03-29 00:00:00,0,false
33,91,27,z,l,SOLD,2025-02-20 00:00:00,91,true
25,6,34,P,O,OPEN,2025-02-07 00:00:00,6,false
128,96,12,S,k,HOLD,2025-04-06 00:00:00,96,true
